target,image_size,clean_num_obj,noise_num_obj,patch_num_obj,clean_num_human,noise_num_human,patch_num_human,clean_proparea_obj,noise_proparea_obj,patch_proparea_obj,clean_proparea_human,noise_proparea_human,patch_proparea_human,noise_box_coverage_prop,patch_box_coverage_prop,noise_grand_iou,patch_grand_iou
yolov2,369664,1138,1212,1132,695,641,642,67.59234181296216,67.34052965905612,65.96595206491425,42.79922580793295,39.83097484204246,40.44136581997133,53.13037785664818,52.472823969875336,253.44367438997546,250.3151251337167
yolov3,369664,1396,1458,1405,808,765,751,70.66313586578407,71.81221723008393,69.92931795290468,43.93991481610812,42.51027828237297,42.44422404397334,54.65696145689056,55.126853034106645,260.85333123633126,262.98518943788804
ssd,90000,965,973,960,672,677,666,73.73744612705377,74.93598396457377,74.92952527510012,45.97287813526351,47.02691883863939,46.82889628958527,56.04407777777774,56.21038888888892,260.5513961989046,258.7239889386197
