target,image_size,clean_num_obj,noise_num_obj,patch_num_obj,clean_num_human,noise_num_human,patch_num_human,clean_proparea_obj,noise_proparea_obj,patch_proparea_obj,clean_proparea_human,noise_proparea_human,patch_proparea_human,noise_box_coverage_prop,patch_box_coverage_prop,noise_grand_iou,patch_grand_iou
yolov2,369664,1138,1205,1190,695,654,635,67.59234181296216,66.7325816749494,67.21600781071548,42.79922580793295,40.76527486828229,39.98679842290124,53.57569306180751,52.939055466585856,255.35002213133046,250.91031764482858
yolov3,369664,1396,1455,1443,808,765,759,70.66313586578407,71.12679779807765,70.67371448279968,43.93991481610812,42.53143968120822,42.13368402053616,55.49816319684903,54.98261935162739,264.0628260353918,262.46683514111567
ssd,90000,965,960,955,672,665,656,73.73744612705377,74.31029820866917,76.16618689717575,45.97287813526351,46.46364863055526,46.69490349099296,55.62392222222225,56.00345555555558,257.3275710372501,259.1188471176655
