target,image_size,clean_num_obj,noise_num_obj,patch_num_obj,clean_num_human,noise_num_human,patch_num_human,clean_proparea_obj,noise_proparea_obj,patch_proparea_obj,clean_proparea_human,noise_proparea_human,patch_proparea_human,noise_box_coverage_prop,patch_box_coverage_prop,noise_grand_iou,patch_grand_iou
yolov2,369664,1138,1214,1106,695,645,642,67.59234181296216,67.68340253551331,65.0874018514338,42.79922580793295,40.74557863790907,40.21567569668934,53.36340839248614,52.82107806007617,253.18288892471645,251.40096802369249
yolov3,369664,1396,1462,1451,808,751,751,70.66313586578407,70.5922873276101,70.73445661689863,43.93991481610812,42.58020646142028,42.36685407015043,54.65551419667587,54.80577767918974,260.47768872885814,260.76231042229574
ssd,90000,965,961,961,672,661,668,73.73744612705377,74.60899422416666,75.38397767941107,45.97287813526351,45.96220521135016,46.466381876749786,55.97428888888883,55.414899999999996,257.47236907727233,256.8239914438957
