target,image_size,clean_num_obj,noise_num_obj,patch_num_obj,clean_num_human,noise_num_human,patch_num_human,clean_proparea_obj,noise_proparea_obj,patch_proparea_obj,clean_proparea_human,noise_proparea_human,patch_proparea_human,noise_box_coverage_prop,patch_box_coverage_prop,noise_grand_iou,patch_grand_iou
yolov2,369664,1138,1237,810,695,656,467,67.59234181296213,67.54495912891431,49.536990277489814,42.79922580793297,40.63528426350652,28.072447223263755,53.63496039646816,41.19385171398892,255.83592467540714,200.95458538749102
yolov3,369664,1396,1485,1400,808,768,788,70.66313586578403,71.40100217760512,65.42771405598621,43.93991481610807,42.55858535156637,40.123437150958516,55.053010301246516,51.66986506665518,261.7074163926108,243.73964196830778
ssd,90000,965,990,1259,672,686,939,73.7374462635274,75.43283478838873,74.28923093101415,45.97287799854193,46.629041108078034,45.992846865441614,55.89168888888888,53.289344444444495,259.4643322314386,248.3525194722917
