target,image_size,clean_num_obj,noise_num_obj,patch_num_obj,clean_num_human,noise_num_human,patch_num_human,clean_proparea_obj,noise_proparea_obj,patch_proparea_obj,clean_proparea_human,noise_proparea_human,patch_proparea_human,noise_box_coverage_prop,patch_box_coverage_prop,noise_grand_iou,patch_grand_iou
yolov2,369664,1138,1210,1198,695,644,639,67.59234181296216,67.37588400034616,65.99594472286778,42.79922580793295,40.50064976732158,38.90576084465858,53.33523145342798,52.43260095654432,253.60207011224654,249.5864837146475
yolov3,369664,1396,1494,1460,808,768,758,70.66313586578407,73.75363704705529,71.09188473761317,43.93991481610812,43.25686918015326,42.42477768147491,54.99246613140582,54.71385095654427,260.0285881329171,259.9581417631039
ssd,90000,965,982,975,672,679,669,73.73744612705377,75.64373585902898,75.51473274226673,45.97287813526351,47.14144379100169,45.574860513948344,56.36216666666668,56.39293333333337,260.38225142928087,259.6627717140208
