target,image_size,clean_num_obj,noise_num_obj,patch_num_obj,clean_num_human,noise_num_human,patch_num_human,clean_proparea_obj,noise_proparea_obj,patch_proparea_obj,clean_proparea_human,noise_proparea_human,patch_proparea_human,noise_box_coverage_prop,patch_box_coverage_prop,noise_grand_iou,patch_grand_iou
yolov2,369664,1138,1211,1180,695,645,651,67.59234181296216,67.83441918202962,67.5107928528721,42.79922580793295,40.19721081836403,40.96344959950511,53.568078038434926,53.6410902873961,252.69393313632094,253.36405498418912
yolov3,369664,1396,1473,1467,808,779,767,70.66313586578407,70.48751842895902,71.37471832050223,43.93991481610812,42.48286145296686,43.139158953760095,54.3954077216066,55.01211640841411,261.542992645337,262.23882940301513
ssd,90000,965,957,961,672,661,662,73.73744612705377,74.21644178822098,74.59835586226555,45.97287813526351,46.32904617110412,46.105796573245264,55.71290000000003,55.54798888888887,257.34965899987435,256.49580072572445
